genotype,target_id,ens_gene,ext_gene,b,se_b,qval,regulation,code
egl-9 hif-1,B0213.14,WBGene00015043,cyp-34A8,0.108691377824563,0.141642689821974,0.915848769487063,candidate for direct regulation,f
hif-1,B0213.14,WBGene00015043,cyp-34A8,0.0495425832551995,0.141642689821974,0.963210065830593,candidate for direct regulation,c
rhy-1,B0213.14,WBGene00015043,cyp-34A8,-0.590945851974902,0.141642689821974,0.0005573520646409808,candidate for indirect regulation,e
fog-2,B0213.15b,WBGene00015044,cyp-34A9,-0.822843503127977,1.7285077318868405,0.9848596485960872,candidate for indirect regulation,g
hif-1,B0213.15b,WBGene00015044,cyp-34A9,-0.495752186498581,1.22223953855056,0.951393535226805,candidate for indirect regulation,c
egl-9 hif-1,B0213.15b,WBGene00015044,cyp-34A9,-0.827215012685614,1.22223953855056,0.935067165918152,candidate for indirect regulation,f
vhl-1,B0213.15b,WBGene00015044,cyp-34A9,-2.5773508003085404,1.22223953855056,0.284469512110915,candidate for indirect regulation,d
egl-9,B0213.15b,WBGene00015044,cyp-34A9,-3.46528896692558,1.22223953855056,0.0423442336672013,candidate for indirect regulation,b
rhy-1,B0213.15b,WBGene00015044,cyp-34A9,-0.16434954923262,1.22223953855056,0.992795106756327,candidate for indirect regulation,e
egl-9;vhl-1,B0213.15b,WBGene00015044,cyp-34A9,-3.45950790828922,1.22223953855056,0.0325393863319597,candidate for indirect regulation,a
vhl-1,B0213.15c,WBGene00015044,cyp-34A9,-1.2653783152324598,0.828766032560615,0.56157385627233,candidate for indirect regulation,d
egl-9,B0213.15c,WBGene00015044,cyp-34A9,-2.21592808462449,0.828766032560615,0.0626422099111804,candidate for indirect regulation,b
egl-9;vhl-1,B0213.15c,WBGene00015044,cyp-34A9,-1.94058617948569,0.828766032560615,0.0982840346623898,candidate for indirect regulation,a
hif-1,B0213.15c,WBGene00015044,cyp-34A9,0.27201323278775,0.828766032560615,0.9683586321274292,candidate for direct regulation,c
rhy-1,B0213.15c,WBGene00015044,cyp-34A9,-0.962679185681986,0.828766032560615,0.614805703582366,candidate for indirect regulation,e
egl-9 hif-1,B0213.15c,WBGene00015044,cyp-34A9,-1.13988214206602,0.828766032560615,0.721482235486962,candidate for indirect regulation,f
fog-2,B0213.15c,WBGene00015044,cyp-34A9,2.0350724194510397e-15,1.17205216328137,1.0,candidate for direct regulation,g
egl-9,B0213.3,WBGene00003766,nlp-28,1.11374826406543,0.200037462674788,9.888745784023011e-07,candidate for direct regulation,b
vhl-1,B0213.3,WBGene00003766,nlp-28,0.559729514981385,0.200037462674788,0.0829330441130773,candidate for direct regulation,d
egl-9 hif-1,B0213.3,WBGene00003766,nlp-28,0.500824190687599,0.200037462674788,0.198972772724052,candidate for direct regulation,f
hif-1,B0213.3,WBGene00003766,nlp-28,0.251669662754839,0.200037462674788,0.648836275265196,candidate for direct regulation,c
rhy-1,B0213.3,WBGene00003766,nlp-28,0.6214404306595921,0.200037462674788,0.018290396612705,candidate for direct regulation,e
egl-9;vhl-1,B0213.3,WBGene00003766,nlp-28,1.07689739007807,0.200037462674788,2.37634624171268e-06,candidate for direct regulation,a
fog-2,B0213.3,WBGene00003766,nlp-28,-0.919108111446954,0.282895692697388,0.0138731343177132,candidate for indirect regulation,g
fog-2,B0213.4,WBGene00003767,nlp-29,-0.544824808643462,0.720179599181275,0.8629095788330751,candidate for indirect regulation,g
egl-9,B0213.4,WBGene00003767,nlp-29,2.2443509576183702,0.509243878253289,0.000231042288522184,candidate for direct regulation,b
rhy-1,B0213.4,WBGene00003767,nlp-29,1.78711460661916,0.509243878253289,0.0054514021069171715,candidate for direct regulation,e
egl-9;vhl-1,B0213.4,WBGene00003767,nlp-29,2.57412211893797,0.509243878253289,1.21187302038601e-05,candidate for direct regulation,a
hif-1,B0213.4,WBGene00003767,nlp-29,-0.3847427560108521,0.509243878253289,0.8391625423276771,candidate for indirect regulation,c
egl-9 hif-1,B0213.4,WBGene00003767,nlp-29,-0.382317041661369,0.509243878253289,0.920639265298094,candidate for indirect regulation,f
vhl-1,B0213.4,WBGene00003767,nlp-29,0.115275127483378,0.509243878253289,0.99942722817217,candidate for direct regulation,d
vhl-1,B0213.5,WBGene00003768,nlp-30,-0.16331773684935902,0.6698546824702459,0.99850704500296,candidate for indirect regulation,d
fog-2,B0213.5,WBGene00003768,nlp-30,-0.041150269873594006,0.947317576768546,1.0,candidate for indirect regulation,g
rhy-1,B0213.5,WBGene00003768,nlp-30,2.99285889269992,0.6698546824702459,0.000175055377189527,candidate for direct regulation,e
egl-9;vhl-1,B0213.5,WBGene00003768,nlp-30,2.8777197485703905,0.6698546824702459,0.000313577743499556,candidate for direct regulation,a
hif-1,B0213.5,WBGene00003768,nlp-30,-0.708801892027879,0.6698546824702459,0.7351095439410059,candidate for indirect regulation,c
egl-9,B0213.5,WBGene00003768,nlp-30,2.63640514396217,0.6698546824702459,0.00143850854982643,candidate for direct regulation,b
egl-9 hif-1,B0213.5,WBGene00003768,nlp-30,-0.632096652262305,0.6698546824702459,0.8724715526935859,candidate for indirect regulation,f
fog-2,B0213.6,WBGene00003769,nlp-31,-0.219894729638411,0.339021179791377,0.914905234383884,candidate for indirect regulation,g
egl-9,B0213.6,WBGene00003769,nlp-31,1.41776298166472,0.239724175196346,1.4722865928895e-07,candidate for direct regulation,b
vhl-1,B0213.6,WBGene00003769,nlp-31,-1.27116425790844,0.239724175196346,1.14362946714834e-05,candidate for indirect regulation,d
egl-9;vhl-1,B0213.6,WBGene00003769,nlp-31,1.98865675104577,0.239724175196346,1.07691156036671e-14,candidate for direct regulation,a
hif-1,B0213.6,WBGene00003769,nlp-31,-0.966755482756614,0.239724175196346,0.0036328608074159296,candidate for indirect regulation,c
rhy-1,B0213.6,WBGene00003769,nlp-31,1.19888966864494,0.239724175196346,1.73031648930369e-05,candidate for direct regulation,e
egl-9 hif-1,B0213.6,WBGene00003769,nlp-31,-1.02897335132084,0.239724175196346,0.0018660177819610105,candidate for indirect regulation,f
egl-9,B0218.6a,WBGene00015050,clec-51,-0.91768548459212,0.137396850237337,1.42537220972213e-09,candidate for indirect regulation,b
rhy-1,B0218.6a,WBGene00015050,clec-51,-0.3025787180355711,0.137396850237337,0.149914958745843,candidate for indirect regulation,e
hif-1,B0218.6a,WBGene00015050,clec-51,0.23671620076583505,0.137396850237337,0.44086973514363,candidate for direct regulation,c
fog-2,B0218.6a,WBGene00015050,clec-51,-0.441591625893041,0.19430848903298695,0.134634825591262,candidate for indirect regulation,g
egl-9 hif-1,B0218.6a,WBGene00015050,clec-51,-0.08866000584883,0.137396850237337,0.9406766548896692,candidate for indirect regulation,f
vhl-1,B0218.6a,WBGene00015050,clec-51,-0.5008639335891509,0.137396850237337,0.00897570584637691,candidate for indirect regulation,d
egl-9;vhl-1,B0218.6a,WBGene00015050,clec-51,-1.15582073248678,0.137396850237337,4.1317071563158704e-15,candidate for indirect regulation,a
vhl-1,B0222.3,WBGene00015055,pitr-3,0.921544922094816,0.27932091969158696,0.0250641955477429,candidate for direct regulation,d
egl-9;vhl-1,B0222.3,WBGene00015055,pitr-3,2.0178298082558,0.27932091969158696,3.48624133828517e-11,candidate for direct regulation,a
fog-2,B0222.3,WBGene00015055,pitr-3,-2.0049153067555903,0.39501943288236896,1.19323280899519e-05,candidate for indirect regulation,g
hif-1,B0222.3,WBGene00015055,pitr-3,0.34168783478731296,0.27932091969158696,0.6672194442560551,candidate for direct regulation,c
egl-9 hif-1,B0222.3,WBGene00015055,pitr-3,0.44286373918580896,0.27932091969158696,0.611772560137217,candidate for direct regulation,f
egl-9,B0222.3,WBGene00015055,pitr-3,2.2765508546206603,0.27932091969158696,3.7881163999811895e-14,candidate for direct regulation,b
rhy-1,B0222.3,WBGene00015055,pitr-3,2.33263137453501,0.27932091969158696,1.2785524734853501e-14,candidate for direct regulation,e
vhl-1,B0222.4,WBGene00006418,tag-38,0.563442918473271,0.334243998923801,0.479731881670861,candidate for direct regulation,d
rhy-1,B0222.4,WBGene00006418,tag-38,1.67297251425673,0.334243998923801,1.69884379999991e-05,candidate for direct regulation,e
egl-9 hif-1,B0222.4,WBGene00006418,tag-38,0.3478661933840411,0.334243998923801,0.8496528785337809,candidate for direct regulation,f
fog-2,B0222.4,WBGene00006418,tag-38,-0.0255922198772228,0.472692396419859,1.0,candidate for indirect regulation,g
egl-9,B0222.4,WBGene00006418,tag-38,1.56963942906627,0.334243998923801,6.7257698082678e-05,candidate for direct regulation,b
egl-9;vhl-1,B0222.4,WBGene00006418,tag-38,1.59523852049284,0.334243998923801,4.3779035247179296e-05,candidate for direct regulation,a
hif-1,B0222.4,WBGene00006418,tag-38,0.6425170844327671,0.334243998923801,0.353636849170755,candidate for direct regulation,c
vhl-1,B0222.9,WBGene00015057,gad-3,-0.7230219938528409,0.14712661039154598,7.141420293631508e-05,candidate for indirect regulation,d
egl-9,B0222.9,WBGene00015057,gad-3,-1.0971606543382,0.14712661039154598,7.13730880291145e-12,candidate for indirect regulation,b
rhy-1,B0222.9,WBGene00015057,gad-3,-0.8597307020874492,0.14712661039154598,2.63994470531807e-07,candidate for indirect regulation,e
fog-2,B0222.9,WBGene00015057,gad-3,-0.758181421409556,0.20806844780170705,0.0040121866361999,candidate for indirect regulation,g
egl-9 hif-1,B0222.9,WBGene00015057,gad-3,-0.26827345238596,0.14712661039154598,0.497908820275244,candidate for indirect regulation,f
egl-9;vhl-1,B0222.9,WBGene00015057,gad-3,-0.730275257406092,0.14712661039154598,1.84630452017482e-05,candidate for indirect regulation,a
hif-1,B0222.9,WBGene00015057,gad-3,-0.402555045275012,0.14712661039154598,0.10664650817681,candidate for indirect regulation,c
egl-9;vhl-1,B0228.4d,WBGene00015061,cpna-2,-0.378010660502084,0.122361153021121,0.0164879352582601,candidate for indirect regulation,a
vhl-1,B0228.4d,WBGene00015061,cpna-2,-0.359689522277616,0.122361153021121,0.0613140789032574,candidate for indirect regulation,d
egl-9,B0228.4d,WBGene00015061,cpna-2,-0.494029123967357,0.122361153021121,0.0009797047359329973,candidate for indirect regulation,b
egl-9 hif-1,B0228.4d,WBGene00015061,cpna-2,-0.254630468429076,0.122361153021121,0.3767313261788979,candidate for indirect regulation,f
hif-1,B0228.4d,WBGene00015061,cpna-2,0.095985306223672,0.122361153021121,0.827480663549174,candidate for direct regulation,c
rhy-1,B0228.4d,WBGene00015061,cpna-2,-0.765757844959358,0.122361153021121,2.6365057223084903e-08,candidate for indirect regulation,e
fog-2,B0228.4d,WBGene00015061,cpna-2,0.509847295463578,0.173044802110079,0.0317073548467004,candidate for direct regulation,g
egl-9 hif-1,B0228.7.1,WBGene00015064,B0228.7,-0.296642656201214,0.29681848546862705,0.860808625126047,candidate for indirect regulation,f
vhl-1,B0228.7.1,WBGene00015064,B0228.7,-0.0956101587540942,0.29681848546862705,0.988917745990193,candidate for indirect regulation,d
rhy-1,B0228.7.1,WBGene00015064,B0228.7,1.2002700045508,0.29681848546862705,0.000892293420792266,candidate for direct regulation,e
hif-1,B0228.7.1,WBGene00015064,B0228.7,0.187865905667613,0.29681848546862705,0.879415340552527,candidate for direct regulation,c
egl-9;vhl-1,B0228.7.1,WBGene00015064,B0228.7,0.8365730509443459,0.29681848546862705,0.0335232006868925,candidate for direct regulation,a
fog-2,B0228.7.1,WBGene00015064,B0228.7,-0.636323969067929,0.419764727712774,0.434034248700959,candidate for indirect regulation,g
egl-9,B0228.7.1,WBGene00015064,B0228.7,0.9145148140937868,0.29681848546862705,0.0222910580156757,candidate for direct regulation,b
hif-1,B0238.11,WBGene00015075,B0238.11,-0.15965396371037802,0.0782716180619768,0.305456400643487,candidate for indirect regulation,c
rhy-1,B0238.11,WBGene00015075,B0238.11,-0.26672790367188604,0.0782716180619768,0.007478694604390191,candidate for indirect regulation,e
vhl-1,B0238.11,WBGene00015075,B0238.11,-0.127057676429231,0.0782716180619768,0.510930414775971,candidate for indirect regulation,d
fog-2,B0238.11,WBGene00015075,B0238.11,0.23425861806387305,0.110692783812135,0.177452778038635,candidate for direct regulation,g
egl-9;vhl-1,B0238.11,WBGene00015075,B0238.11,-0.216601724157814,0.0782716180619768,0.0379061092172874,candidate for indirect regulation,a
egl-9,B0238.11,WBGene00015075,B0238.11,-0.22265044168081,0.0782716180619768,0.0413640282280662,candidate for indirect regulation,b
egl-9 hif-1,B0238.11,WBGene00015075,B0238.11,0.026562355500415,0.0782716180619768,0.993730119072552,candidate for direct regulation,f
fog-2,B0238.12,WBGene00015076,B0238.12,1.111298314906,0.250658112339327,0.000211796605340757,candidate for direct regulation,g
vhl-1,B0238.12,WBGene00015076,B0238.12,-0.222621965307634,0.177242050994557,0.6947236257549809,candidate for indirect regulation,d
egl-9;vhl-1,B0238.12,WBGene00015076,B0238.12,0.831470566295865,0.177242050994557,6.19934648527107e-05,candidate for direct regulation,a
egl-9,B0238.12,WBGene00015076,B0238.12,0.626490723736512,0.177242050994557,0.0057127397544120394,candidate for direct regulation,b
hif-1,B0238.12,WBGene00015076,B0238.12,-0.0931239280919738,0.177242050994557,0.914779991807552,candidate for indirect regulation,c
rhy-1,B0238.12,WBGene00015076,B0238.12,0.548325626021983,0.177242050994557,0.0189262890257632,candidate for direct regulation,e
egl-9 hif-1,B0238.12,WBGene00015076,B0238.12,0.238216931296142,0.177242050994557,0.737260362714406,candidate for direct regulation,f
egl-9 hif-1,B0244.5,WBGene00015080,B0244.5,0.0770757448777024,0.5167359505764849,0.999683085911966,candidate for direct regulation,f
hif-1,B0244.5,WBGene00015080,B0244.5,0.158959528326896,0.5167359505764849,0.972958667768122,candidate for direct regulation,c
vhl-1,B0244.5,WBGene00015080,B0244.5,-1.1224138316556298,0.5167359505764849,0.261022618873339,candidate for indirect regulation,d
fog-2,B0244.5,WBGene00015080,B0244.5,1.34220649160289,0.730774989471019,0.28208694808994,candidate for direct regulation,g
rhy-1,B0244.5,WBGene00015080,B0244.5,-0.519099318860093,0.5167359505764849,0.6903323447344389,candidate for indirect regulation,e
egl-9;vhl-1,B0244.5,WBGene00015080,B0244.5,-2.5362402051004302,0.5167359505764849,2.3702558597895e-05,candidate for indirect regulation,a
egl-9,B0244.5,WBGene00015080,B0244.5,-1.97909798772796,0.5167359505764849,0.00209079196353614,candidate for indirect regulation,b
egl-9,B0250.1,WBGene00004413,rpl-2,-0.22642317207696505,0.0906933277858833,0.0931575842517847,candidate for indirect regulation,b
hif-1,B0250.1,WBGene00004413,rpl-2,-0.048226587111234,0.0906933277858833,0.913009326397232,candidate for indirect regulation,c
vhl-1,B0250.1,WBGene00004413,rpl-2,-0.163594881978443,0.0906933277858833,0.422000620891945,candidate for indirect regulation,d
egl-9;vhl-1,B0250.1,WBGene00004413,rpl-2,-0.338249850084536,0.0906933277858833,0.0024289389305933396,candidate for indirect regulation,a
rhy-1,B0250.1,WBGene00004413,rpl-2,-0.37908376771661295,0.0906933277858833,0.000541179569754009,candidate for indirect regulation,e
egl-9 hif-1,B0250.1,WBGene00004413,rpl-2,-0.240275106333929,0.0906933277858833,0.15398922136750798,candidate for indirect regulation,f
fog-2,B0250.1,WBGene00004413,rpl-2,0.0261814199937959,0.128259734171545,1.0,candidate for direct regulation,g
egl-9,B0250.5,WBGene00007122,B0250.5,-0.37548279434460297,0.0786195189011077,4.7215779071976285e-05,candidate for indirect regulation,b
fog-2,B0250.5,WBGene00007122,B0250.5,0.0277389889555029,0.111184789897194,1.0,candidate for direct regulation,g
egl-9;vhl-1,B0250.5,WBGene00007122,B0250.5,-0.31411937172126897,0.0786195189011077,0.000959097622388799,candidate for indirect regulation,a
vhl-1,B0250.5,WBGene00007122,B0250.5,-0.0293494560911178,0.0786195189011077,0.9794424954554072,candidate for indirect regulation,d
egl-9 hif-1,B0250.5,WBGene00007122,B0250.5,-0.35821582107967204,0.0786195189011077,0.0007503724891791219,candidate for indirect regulation,f
hif-1,B0250.5,WBGene00007122,B0250.5,-0.263523564931714,0.0786195189011077,0.0270733684113425,candidate for indirect regulation,c
rhy-1,B0250.5,WBGene00007122,B0250.5,-0.360823372309334,0.0786195189011077,0.00010661878492475799,candidate for indirect regulation,e
egl-9;vhl-1,B0261.4a,WBGene00015092,mrpl-47,-0.437196544683493,0.120575581983527,0.00337031932113457,candidate for indirect regulation,a
egl-9 hif-1,B0261.4a,WBGene00015092,mrpl-47,-0.24454579488723,0.120575581983527,0.4020999170701721,candidate for indirect regulation,f
egl-9,B0261.4a,WBGene00015092,mrpl-47,-0.3723777561565039,0.120575581983527,0.0218940205509079,candidate for indirect regulation,b
rhy-1,B0261.4a,WBGene00015092,mrpl-47,-0.4765842304346311,0.120575581983527,0.00123727341477266,candidate for indirect regulation,e
fog-2,B0261.4a,WBGene00015092,mrpl-47,0.0930866170141165,0.170519623332134,0.9587636637119508,candidate for direct regulation,g
vhl-1,B0261.4a,WBGene00015092,mrpl-47,-0.337792161743023,0.120575581983527,0.0825894763366051,candidate for indirect regulation,d
hif-1,B0261.4a,WBGene00015092,mrpl-47,-0.173093631261604,0.120575581983527,0.569598424955134,candidate for indirect regulation,c
vhl-1,B0261.4b,WBGene00015092,mrpl-47,-0.337792161743023,0.120575581983527,0.0825894763366051,candidate for indirect regulation,d
fog-2,B0261.4b,WBGene00015092,mrpl-47,0.0930866170141165,0.170519623332134,0.9587636637119508,candidate for direct regulation,g
egl-9,B0261.4b,WBGene00015092,mrpl-47,-0.3723777561565039,0.120575581983527,0.0218940205509079,candidate for indirect regulation,b
egl-9;vhl-1,B0261.4b,WBGene00015092,mrpl-47,-0.437196544683493,0.120575581983527,0.00337031932113457,candidate for indirect regulation,a
hif-1,B0261.4b,WBGene00015092,mrpl-47,-0.173093631261604,0.120575581983527,0.569598424955134,candidate for indirect regulation,c
rhy-1,B0261.4b,WBGene00015092,mrpl-47,-0.4765842304346311,0.120575581983527,0.00123727341477266,candidate for indirect regulation,e
egl-9 hif-1,B0261.4b,WBGene00015092,mrpl-47,-0.24454579488723,0.120575581983527,0.4020999170701721,candidate for indirect regulation,f
hif-1,B0272.3,WBGene00007129,B0272.3,0.215781252290278,0.0861699576423323,0.158874558794441,candidate for direct regulation,c
fog-2,B0272.3,WBGene00007129,B0272.3,0.38430338712457,0.121862722766902,0.0182259902277968,candidate for direct regulation,g
egl-9 hif-1,B0272.3,WBGene00007129,B0272.3,-0.239900130171435,0.0861699576423323,0.120187641619431,candidate for indirect regulation,f
vhl-1,B0272.3,WBGene00007129,B0272.3,-0.346299166433615,0.0861699576423322,0.00268203618410733,candidate for indirect regulation,d
egl-9;vhl-1,B0272.3,WBGene00007129,B0272.3,-0.393642695159653,0.0861699576423323,0.00010363536064370401,candidate for indirect regulation,a
rhy-1,B0272.3,WBGene00007129,B0272.3,-0.492539842213335,0.0861699576423323,5.2448412425062e-07,candidate for indirect regulation,e
egl-9,B0272.3,WBGene00007129,B0272.3,-0.321377095285177,0.0861699576423323,0.00297676596051485,candidate for indirect regulation,b
egl-9 hif-1,B0272.4,WBGene00007130,B0272.4,-0.22322968525477696,0.199155372971875,0.8226961201050159,candidate for indirect regulation,f
fog-2,B0272.4,WBGene00007130,B0272.4,-0.28473879319027395,0.28164822947629803,0.71835215748302,candidate for indirect regulation,g
rhy-1,B0272.4,WBGene00007130,B0272.4,-0.42263659749109095,0.199155372971875,0.17364305253809698,candidate for indirect regulation,e
egl-9,B0272.4,WBGene00007130,B0272.4,-0.5575186108999169,0.199155372971875,0.0464541552317593,candidate for indirect regulation,b
vhl-1,B0272.4,WBGene00007130,B0272.4,-0.295867738603617,0.199155372971875,0.586147331087387,candidate for indirect regulation,d
hif-1,B0272.4,WBGene00007130,B0272.4,0.5248690837844671,0.199155372971875,0.12694636876068302,candidate for direct regulation,c
egl-9;vhl-1,B0272.4,WBGene00007130,B0272.4,-0.8452149229519541,0.199155372971875,0.000382885885306271,candidate for indirect regulation,a
vhl-1,B0280.3.1,WBGene00015101,rpia-1,-0.29861432821613504,0.141569233309947,0.28439031955102,candidate for indirect regulation,d
fog-2,B0280.3.1,WBGene00015101,rpia-1,-5.38324137610803,0.200209129761688,4.0427612662625273e-156,candidate for indirect regulation,g
rhy-1,B0280.3.1,WBGene00015101,rpia-1,-0.396825694154924,0.141569233309947,0.040253421010524,candidate for indirect regulation,e
egl-9,B0280.3.1,WBGene00015101,rpia-1,-0.4535464467798061,0.141569233309947,0.0158593155564483,candidate for indirect regulation,b
hif-1,B0280.3.1,WBGene00015101,rpia-1,-0.0215761875486612,0.141569233309947,0.9947300523326592,candidate for indirect regulation,c
egl-9 hif-1,B0280.3.1,WBGene00015101,rpia-1,-0.142344960686133,0.141569233309947,0.859295131122342,candidate for indirect regulation,f
egl-9;vhl-1,B0280.3.1,WBGene00015101,rpia-1,-0.3591374211293621,0.141569233309947,0.0650387894908536,candidate for indirect regulation,a
