target_id,ens_gene,ext_gene,b,qval
Y95B8A.2,WBGene00022383,Y95B8A.2,3.3469858390658502,2.1431308071724998e-19
Y73C8C.2,WBGene00022261,clec-210,2.83301207719401,3.27892438339377e-19
K07C6.5,WBGene00019473,cyp-35A5,-1.94946103845957,1.2014619109927299e-18
F15E11.15b,WBGene00017501,pud-3,-5.668569559728921,1.6117535345887099e-18
H12D21.7a,WBGene00010383,mpst-3,2.63056971832406,4.71726126927352e-18
H12D21.7b,WBGene00010383,mpst-3,2.63056971832406,4.71726126927352e-18
C03E10.6,WBGene00007283,clec-222,2.4702720386263,1.0284959913458802e-17
F09A5.9,WBGene00045245,ttr-34,1.6090366844581698,1.55551907442361e-17
F02H6.5a,WBGene00008538,sqrd-1,5.9119612529948,2.2213445275905396e-17
F57B9.1,WBGene00018996,F57B9.1,0.9503700400820949,2.98278942285056e-17
Y105C5B.5a,WBGene00013647,Y105C5B.5,-1.0797202726611,3.5937310869430396e-17
F35F10.5,WBGene00018055,F35F10.5,-4.805416180446519,4.84872057101308e-17
F57H12.6,WBGene00019021,F57H12.6,3.1576864018361603,1.58795752829211e-16
F52E4.1a.1,WBGene00018701,pccb-1,0.7120341308560508,5.60626302272421e-16
F15E11.12a,WBGene00017498,pud-4,-6.52603986218035,6.608728307552969e-16
F54D5.12,WBGene00010055,F54D5.12,-0.842379041980321,7.194633639114519e-16
C30G12.2,WBGene00016274,C30G12.2,-2.30864507708709,7.272021597192941e-16
T09A5.1a,WBGene00023408,cex-2,1.62651950146653,9.92176042085217e-16
W05G11.6c,WBGene00021043,pck-1,2.7541961820341,2.72219255167138e-15
Y38E10A.5,WBGene00012583,clec-4,2.55861505768841,4.5830932139251505e-15
R03G8.6,WBGene00011000,R03G8.6,1.5248703052263,4.79922997739703e-15
F52B10.1,WBGene00003776,nmy-1,0.9350474476531391,8.451632972299071e-15
T09H2.1,WBGene00020386,cyp-34A4,-3.27792561471564,2.92263246412005e-14
C09E8.3,WBGene00015646,mlt-10,2.75708041700295,2.98384112443549e-14
K11D12.13,WBGene00044535,K11D12.13,1.47731240873043,5.69815558705178e-14
Y37A1B.5b,WBGene00012538,Y37A1B.5,2.50185034460507,6.68819249165997e-14
F54F7.3,WBGene00010065,F54F7.3,1.8274364110528702,6.68819249165997e-14
ZC513.12,WBGene00006060,sth-1,2.09454586797075,1.74738295117854e-13
C15H9.7,WBGene00015802,flu-2,-1.21671045908365,2.1175038753870003e-13
F13D12.2,WBGene00002262,ldh-1,0.609743802486512,2.1536441804389896e-13
ZK816.5,WBGene00000989,dhs-26,-3.25993359645965,2.3576110166497697e-13
F21D5.3a.2,WBGene00009008,F21D5.3,2.84421677064471,2.57387143225441e-13
B0222.6,WBGene00000717,col-144,2.6949472591429,2.6812132967715396e-13
F53F8.4,WBGene00010001,F53F8.4,1.5025995213833303,3.3042530582353695e-13
ZC513.7,WBGene00023209,ZC513.7,-0.659231835938095,4.36563156459981e-13
ZK1320.9,WBGene00014258,ZK1320.9,-0.623121884024669,5.16464699513938e-13
K10H10.2.1,WBGene00010759,cysl-2,3.86584105521658,5.44575069120938e-13
W07A12.4,WBGene00012322,W07A12.4,2.81277985130221,6.43890576011635e-13
F38E11.1,WBGene00002012,hsp-12.3,2.27650370341184,6.935676192054699e-13
C24B9.9,WBGene00016052,dod-3,3.3246968056085198,7.729726630942929e-13
C14F11.4a,WBGene00015780,C14F11.4,1.65171760672818,7.84551230784512e-13
C32H11.12,WBGene00007875,dod-24,2.6272187548923798,8.712454873143309e-13
F02H6.5b,WBGene00008538,sqrd-1,5.8269497544452795,1.51069976635519e-12
K08E3.10,WBGene00023451,mlc-7,1.0487818541516,2.41245320361013e-12
C25E10.9b.1,WBGene00023417,swm-1,1.35791838211243,3.7548493216077e-12
C35A5.3,WBGene00007947,C35A5.3,-1.5279379544790102,3.93441592965339e-12
C36A4.1,WBGene00007963,cyp-25A1,-2.05538759998691,5.76002884733021e-12
M03B6.2,WBGene00010834,mct-3,-1.11676464222402,1.00380923894649e-11
F08A8.2,WBGene00008565,acox-2,-1.61823724027926,1.00605476435882e-11
K04F10.1,WBGene00019394,K04F10.1,1.27014029431127,1.01874905538554e-11
T21C9.8,WBGene00011894,ttr-23,2.26758474315764,1.42704463592735e-11
C34C12.7,WBGene00007926,C34C12.7,1.45366589741476,1.54861435408697e-11
ZK666.6,WBGene00014046,clec-60,4.5711884035940304,1.61699712305766e-11
C25E10.9a,WBGene00023417,swm-1,1.258464068894,2.03975482481226e-11
B0024.8a,WBGene00000491,che-12,4.40321889077422,2.45839636818367e-11
F37B1.8,WBGene00001767,gst-19,5.14887565929225,2.8457315074163e-11
Y19D10B.7,WBGene00021236,pud-1.2,-2.9887172952063596,3.3126488827060395e-11
ZK228.3,WBGene00013946,ZK228.3,-1.8163800692831,3.31841905394022e-11
ZK637.13.1,WBGene00014030,glb-1,2.04565617284139,4.7103304416272e-11
T28H10.2,WBGene00012143,T28H10.2,1.21408207316945,5.25044027719205e-11
W09G12.9,WBGene00021123,W09G12.9,-1.41081235529251,5.84053425362585e-11
T05A10.3,WBGene00011460,ttr-14,2.08129909774678,7.09450424629429e-11
F25E2.2a,WBGene00017780,F25E2.2,-0.696478445492907,7.786544176238729e-11
C29F7.3,WBGene00007812,C29F7.3,-0.834021631183973,1.01208250833142e-10
C43H6.1,WBGene00016614,trpp-12,-0.8464056838492958,1.14652077137503e-10
F21F8.3.2,WBGene00000218,asp-5,1.70727181233818,1.37837598469389e-10
F18G5.2,WBGene00003981,pes-8,2.5196330733090897,1.45578251910498e-10
F13H6.3,WBGene00017431,F13H6.3,-1.09667924937186,2.1687764598381598e-10
W04G3.1b.2,WBGene00012255,lpr-6,6.1931479901654605,2.34847983813105e-10
M02D8.6,WBGene00019732,M02D8.6,1.69456040908445,2.79937501393069e-10
C55B7.4a,WBGene00016943,acdh-1,-1.1388032713674,3.7755430364724403e-10
F35C5.9,WBGene00009397,clec-66,1.83419185034856,6.6821175585928e-10
T07D3.4,WBGene00020307,T07D3.4,0.9588038446170509,6.77905248294002e-10
T01D3.6b,WBGene00011330,T01D3.6,1.07428028446092,7.58718388997274e-10
F15E11.1,WBGene00017490,pud-2.1,-2.89360663802252,7.8366729266185e-10
F15E11.14,WBGene00017500,pud-2.2,-2.89360663802252,7.8366729266185e-10
F15E11.15a,WBGene00017501,pud-3,-6.64726762725881,1.5344532972462802e-09
F55E10.6,WBGene00018885,drd-5,-0.5707412403076421,1.54128665955462e-09
R173.1,WBGene00000283,cah-5,-0.9014578304854358,1.9948366045919797e-09
Y46G5A.10,WBGene00012901,cnp-2,2.16869357858899,2.0641596432456103e-09
T05E7.1,WBGene00020258,T05E7.1,-1.38682006110768,2.25604946647375e-09
K10H10.2.2,WBGene00010759,cysl-2,3.5400485577261604,2.25604946647375e-09
ZK970.7,WBGene00014173,ZK970.7,3.52042372731229,2.25604946647375e-09
B0222.9,WBGene00015057,gad-3,-1.1406604101900701,3.9006972514815995e-09
K10C2.1,WBGene00019617,K10C2.1,0.922467115524663,3.9006972514815995e-09
Y105E8B.1b.2,WBGene00002978,lev-11,1.06175395304683,4.91175270858905e-09
Y105E8B.1j,WBGene00002978,lev-11,1.06175395304683,4.91175270858905e-09
F17E9.4,WBGene00017541,F17E9.4,1.09325753187567,5.047420228233211e-09
T07A9.9a.3,WBGene00020297,nog-1,6.09558738983717,5.6440826750812004e-09
T22B7.7,WBGene00020674,T22B7.7,-2.1356470780235703,7.01113924604176e-09
T19H12.9,WBGene00020592,ugt-12,-1.17303414195549,7.423909975712991e-09
F32B5.8a,WBGene00000788,cpz-1,-0.608868773483129,8.40989511809162e-09
F15G9.1a,WBGene00008865,F15G9.1,1.5288603540827,8.57570045767351e-09
F35E12.7a,WBGene00009431,dct-17,5.517522131993211,1.1604556734322299e-08
F43E2.5.2,WBGene00018393,msra-1,-1.99093425088792,1.21742117213316e-08
T02G5.7,WBGene00020166,T02G5.7,-0.5310842681441861,1.58746417169256e-08
C51E3.9a,WBGene00008254,C51E3.9,0.7158779866962309,1.73591140062825e-08
C03G6.15,WBGene00015400,cyp-35A2,-1.02025716845343,3.14028271935656e-08
M05D6.7,WBGene00001523,gbh-2,1.2657002989096497,3.15609541292725e-08
F23A7.4.2,WBGene00009069,F23A7.4,-0.759258554819366,3.29892063547784e-08
Y40D12A.2,WBGene00021503,ctsa-2,0.8557149936847521,3.3684912373572e-08
C04C3.3,WBGene00015413,pdhb-1,-0.509019896636606,4.1644146165669704e-08
K09F5.2,WBGene00006925,vit-1,-1.25863642921948,4.50977542862828e-08
C10H11.1,WBGene00015691,viln-1,0.46777170629203996,4.7941224381052195e-08
D1086.3,WBGene00008390,D1086.3,-2.0484904367867403,5.61852737116827e-08
Y38F1A.6.1,WBGene00012608,Y38F1A.6,-0.93933630891227,6.77119925509612e-08
ZK637.13.2,WBGene00014030,glb-1,2.1241909879692797,7.4656654726465e-08
C49C3.1,WBGene00004908,snf-9,0.9742104471398949,8.87766158406338e-08
W09H1.6b,WBGene00002264,lec-1,0.623162482650045,9.13063392641892e-08
C05D2.8,WBGene00015469,C05D2.8,-0.835061315970646,9.18250304383438e-08
W05G11.6d.2,WBGene00021043,pck-1,3.28627771247134,9.81304552000935e-08
W06B11.4b,WBGene00001984,hog-1,3.71582705487553,1.0471366936226699e-07
ZK131.2,WBGene00001899,his-25,1.74313954577797,1.0528899224318801e-07
Y71H2AM.13,WBGene00022178,Y71H2AM.13,-0.586575019435818,1.0601122837389301e-07
K08C7.5,WBGene00001477,fmo-2,3.7994038009356,1.08718654911663e-07
F02H6.5f,WBGene00008538,sqrd-1,4.85928169294388,1.08718654911663e-07
R07E5.13,WBGene00011119,R07E5.13,-0.831671685289627,1.58654212686319e-07
W07G4.5,WBGene00012339,W07G4.5,1.10732340582206,1.8643574889874301e-07
E01A2.10,WBGene00077701,poml-3,-0.8225911008321519,1.8650104272636498e-07
F08F3.2a,WBGene00017261,acl-6,0.6627987479368239,2.3723000393770105e-07
ZC190.4,WBGene00022538,ZC190.4,1.12640668210998,2.4567294193262703e-07
F58B6.2,WBGene00019030,exc-6,1.43832135327102,2.52583250808964e-07
Y46C8AL.3,WBGene00021581,clec-70,3.79569636128713,2.5478143924363605e-07
F01G10.3a,WBGene00001158,ech-9,4.25359016448008,3.53129966193069e-07
F01G10.3b,WBGene00001158,ech-9,4.25359016448008,3.53129966193069e-07
T22C8.6,WBGene00011927,T22C8.6,1.4993007550022301,3.83910809341741e-07
Y49E10.29,WBGene00045239,Y49E10.29,1.0313566399996201,5.76411636597524e-07
F19C7.7,WBGene00000684,col-110,2.23189499473983,6.09987788834195e-07
T10H4.12,WBGene00000783,cpr-3,1.36111702381614,6.324202853795339e-07
F11A5.9,WBGene00008677,F11A5.9,-0.79283126632435,6.61598456654633e-07
K09H9.8,WBGene00045387,K09H9.8,1.13343164740125,7.08747524225887e-07
T27A10.3a,WBGene00000515,ckc-1,-1.01771990992116,8.538330584808459e-07
T03E6.7a,WBGene00000776,cpl-1,-0.558407947360261,9.895322628845958e-07
F42A10.3,WBGene00018340,anmt-2,-0.8944624680908241,1.3104297071002301e-06
R12C12.5,WBGene00020025,R12C12.5,0.49734457104718394,1.45623090997349e-06
ZK265.9,WBGene00044094,fitm-2,-0.506065696181401,1.7418606865466201e-06
T10B5.8,WBGene00020394,T10B5.8,-1.16249059825696,2.02182974763695e-06
Y41D4B.17,WBGene00021519,Y41D4B.17,2.43609547948609,2.3140379681089e-06
K10B3.9.2,WBGene00003124,mai-1,0.7992300345084609,2.3140379681089e-06
Y46E12BL.3,WBGene00021596,spsb-2,0.40349792783985206,2.4165629696017798e-06
K08F4.3,WBGene00010678,K08F4.3,0.40077767616816795,3.35332720301771e-06
F11G11.2,WBGene00001755,gst-7,0.42953578026046096,3.5395045063456595e-06
C05G5.4,WBGene00007350,sucl-1,-0.4033692095468371,4.11561587720286e-06
Y38F2AL.4,WBGene00006912,vha-3,-0.548317722689459,6.54258927466926e-06
F54D8.3a.2,WBGene00000107,alh-1,-0.542892228826439,6.63668042890622e-06
Y102A11A.5,WBGene00022415,Y102A11A.5,3.62784729285708,7.24954525528698e-06
ZC443.5,WBGene00013900,ugt-18,4.17839787917846,7.302495571373531e-06
Y119C1B.5,WBGene00022471,Y119C1B.5,-0.6448051449700649,7.71904206878083e-06
Y54E5B.1a,WBGene00004889,smp-1,0.509555702470686,7.71904206878083e-06
T07H3.1,WBGene00006464,bath-47,2.48563568307386,8.27694156473211e-06
Y41D4A.4b,WBGene00021506,Y41D4A.4,4.69460830289624,8.348963608675631e-06
T04A8.5,WBGene00011407,ppat-1,-0.7481798689065949,8.56047817803008e-06
C10C5.5,WBGene00007509,C10C5.5,2.31357320010294,8.60261591822605e-06
Y22D7AL.5c,WBGene00002025,hsp-60,-0.42911479232061295,1.02589479794946e-05
Y9C9A.8,WBGene00021178,Y9C9A.8,2.0636647522511598,1.09929004271944e-05
R05F9.10,WBGene00019893,sgt-1,-0.377985764448496,1.26709460536166e-05
C03G5.1,WBGene00015391,sdha-1,0.37922640191741996,1.31564731301797e-05
C12D12.1b,WBGene00015713,C12D12.1,0.614581373290994,1.3171492234038199e-05
W02H5.8,WBGene00020962,W02H5.8,-0.754766496971103,1.4056506180514401e-05
D2096.8,WBGene00017075,nap-1,-0.4121077128593689,2.05145664068238e-05
R11A5.7,WBGene00011235,suro-1,-0.41532641957067207,2.05594618894648e-05
ZK899.2,WBGene00014141,ZK899.2,-0.6133404780763101,2.12035407349628e-05
F35C12.3c,WBGene00009408,F35C12.3,3.60165358175148,2.1621420051483104e-05
Y37A1B.5c,WBGene00012538,Y37A1B.5,3.9377862907137997,2.2057012350185398e-05
Y25C1A.14,WBGene00194985,Y25C1A.14,1.4195292608432701,2.2282943269947897e-05
C03E10.5,WBGene00007282,clec-223,1.0749309590871199,3.56376036544377e-05
Y69H2.9,WBGene00013484,Y69H2.9,-1.14941574986209,3.61316945464126e-05
T21C9.13,WBGene00011898,T21C9.13,0.38287363399835495,5.07052173798999e-05
C44F1.3,WBGene00002267,lec-4,-0.45466745081116294,5.46028060456136e-05
F02H6.5c,WBGene00008538,sqrd-1,5.35610740412814,5.90475173827452e-05
F20H11.3,WBGene00003162,mdh-2,-0.400368967048128,6.46286560118803e-05
T05F1.2,WBGene00011489,T05F1.2,0.37364396171342,6.75344910611984e-05
F54C8.4a,WBGene00010037,F54C8.4,0.38137682761460995,6.82208706972513e-05
F09C8.1,WBGene00008621,F09C8.1,-2.01383687892088,0.000100083165141149
C34H4.2,WBGene00016425,C34H4.2,1.6139883803625898,0.000104482238681318
F45E1.4,WBGene00018465,F45E1.4,-0.9969711527167191,0.000131610954294568
F22H10.6,WBGene00017730,F22H10.6,-1.09152842585949,0.000154168843407097
F39H11.3,WBGene00000409,cdk-8,0.33315099310628304,0.000171747956718969
F17C11.1,WBGene00008913,F17C11.1,0.8590672434919392,0.000199227941943294
T25B9.8,WBGene00012014,T25B9.8,0.427511030607266,0.000206482385421504
Y82E9BL.10,WBGene00022326,fbxa-14,1.34894812886318,0.000208875407357494
T22F3.3a,WBGene00020696,T22F3.3,0.547410937595754,0.00022865614705949903
F45B8.1,WBGene00004354,rgs-11,0.44888874489879205,0.000295259780408798
C45B11.3.2,WBGene00000981,dhs-18,0.58479101162087,0.000330665463847973
T04C12.5.1,WBGene00000064,act-2,-0.370343568184684,0.000337210199014009
R12E2.11,WBGene00020036,R12E2.11,-0.37410287913303203,0.00036232128137508396
C52E4.1,WBGene00000781,cpr-1,1.38876415514401,0.00036310811508775
Y46C8AL.5,WBGene00021583,clec-72,2.12386153342862,0.00036310811508775
H12D21.4,WBGene00010380,mpst-2,3.32819447861275,0.000404547606948279
ZK858.3,WBGene00014117,clec-91,0.33601922603046996,0.00047127706456146103
C05C10.5a,WBGene00007332,C05C10.5,0.350802522495101,0.000519985205878063
F44F4.11,WBGene00006530,tba-4,-0.593831939111814,0.0005921811448422901
ZK546.15,WBGene00006619,try-1,0.309353255451874,0.000640709013059062
F14B8.3,WBGene00003987,pes-23,0.937244637103827,0.000714383638894805
C25D7.5,WBGene00007717,C25D7.5,1.6224416363445402,0.000768440302442763
F19C6.5,WBGene00008954,F19C6.5,-1.1422097803667999,0.000768440302442763
H14A12.2b.1,WBGene00001503,fum-1,0.390332931411004,0.000796098029943295
K09C4.1a,WBGene00019547,K09C4.1,-1.30904149463208,0.000801436760075538
T05C12.7,WBGene00000377,cct-1,-0.313008602325203,0.00080847372176704
K02D7.5,WBGene00019300,swt-1,1.135347113707,0.000881087716573519
T03F6.5,WBGene00003047,lis-1,-0.35385440341319396,0.000927153470787851
C15H9.9.3,WBGene00015803,C15H9.9,-0.464128294852369,0.00105446361723406
Y49E10.4,WBGene00013030,Y49E10.4,0.323879913916592,0.00109456455246003
T10B5.5a,WBGene00020391,cct-7,-0.35726962989965105,0.0011349775685384
D2013.7,WBGene00001229,eif-3.F,-0.29876398500178997,0.00137445678609392
ZK1010.1,WBGene00006728,ubq-2,-0.30028802717811104,0.00138489328209802
F42A10.5,WBGene00018341,F42A10.5,-0.329820424680789,0.0014061429145251802
F55B11.2.2,WBGene00010084,F55B11.2,0.925569121745871,0.00141776531045749
T11F8.2,WBGene00020434,T11F8.2,0.645119087438334,0.0015032317620054
F52H3.7a.2,WBGene00002265,lec-2,0.60098300872327,0.0015113227090206801
Y40B10A.6,WBGene00021491,comt-4,2.50023859536664,0.00151703248677539
F33D11.11.1,WBGene00018008,vpr-1,-0.342061873137386,0.0016250209535145
Y87G2A.8b,WBGene00013597,gpi-1,0.5279059895266539,0.00162995819525593
F55G1.15,WBGene00018907,F55G1.15,0.841063093562108,0.0018270731474360601
C03D6.1,WBGene00007275,C03D6.1,1.65642304923274,0.00190358229585517
ZK1321.3,WBGene00000178,aqp-10,-0.38021367159241,0.00190358229585517
Y37E3.10a,WBGene00021351,Y37E3.10,-0.324176824690761,0.00199154142367935
Y47D9A.2a,WBGene00021629,scpl-3,0.40181142516081103,0.00200574525213026
M03F4.7a,WBGene00019760,calu-1,-0.6982044107649389,0.00200713132096498
F29G9.4b,WBGene00001345,fos-1,1.60660912915615,0.0020361283420415603
F08A8.7.2,WBGene00008569,fbxa-101,4.17707074838429,0.00210218686057876
D1086.7,WBGene00008394,D1086.7,0.593749671359918,0.00226163975435841
R07B1.3,WBGene00011076,scav-5,0.833654505885437,0.00230859657753015
D1086.10c,WBGene00044080,D1086.10,0.9105320221312109,0.0023115088422325
C01G10.8.1,WBGene00007235,C01G10.8,-0.35078605606305396,0.00238725889037559
K10B2.3a,WBGene00019606,clec-88,0.332567478504745,0.00239211189200229
W02D7.6,WBGene00020942,W02D7.6,0.340252985788613,0.00244044986019015
F25B5.2a.1,WBGene00017774,nop-1,0.45756086610174107,0.00245675435873571
Y76A2B.3,WBGene00013575,acs-5,-0.37535840127060205,0.00247908416304274
W06D12.3,WBGene00001397,fat-5,-2.0221893005489098,0.00247908416304274
C55B6.2,WBGene00001025,dnj-7,-0.513969071373928,0.0025804284526824896
T05C3.5,WBGene00001037,dnj-19,-0.34059340827840806,0.00269926349945818
K08D8.6a,WBGene00010660,K08D8.6,0.601625553338615,0.00278326761405188
C50E3.13,WBGene00016824,C50E3.13,0.35263610013494895,0.0028571365002325
Y54E10A.10,WBGene00021830,Y54E10A.10,-0.338721525256692,0.00288464988789559
Y38F2AL.3a,WBGene00006920,vha-11,-0.323582253314042,0.0030231154597786603
T28D9.10a,WBGene00004916,snr-3,-0.358232169367245,0.00309199247491234
F35E12.4,WBGene00009428,F35E12.4,2.34545997297427,0.00309199247491234
Y57A10C.6,WBGene00013284,daf-22,-0.399074194109471,0.00311734415619293
T20F5.2,WBGene00003950,pbs-4,-0.305822357056091,0.00328480827534905
F42G4.3b,WBGene00006999,zyx-1,0.492475166341067,0.00351668373385325
B0286.3,WBGene00015116,B0286.3,-0.497414560101383,0.0035752890231771704
K02B2.4a,WBGene00002129,inx-7,0.364549004318561,0.0038395676260349295
E03G2.3,WBGene00003169,mec-5,-0.5923474140373189,0.00385088193561731
ZK1073.1.2,WBGene00014213,ZK1073.1,3.7975608136778902,0.00385088193561731
C04C3.5b,WBGene00001119,dyf-3,4.13666478508361,0.00411574412248198
D1054.11,WBGene00008378,D1054.11,0.561601804393616,0.00430058042934232
F39B2.10.1,WBGene00001030,dnj-12,-0.524334863527528,0.00444357179269909
C54G4.8,WBGene00000869,cyc-1,-0.277799288759159,0.00453616503336674
F31E9.3,WBGene00009296,F31E9.3,1.07110213778314,0.00489100981942548
F40G9.3,WBGene00006715,ubc-20,-0.33513922398314006,0.0049419602576257
R01H10.8,WBGene00000564,cnk-1,0.342919872165723,0.0049550919264079105
F47H4.1a,WBGene00009834,lsy-27,0.39974867167251793,0.00513731702967659
Y48A6B.3,WBGene00012964,Y48A6B.3,-0.33531391956465,0.00514846229079134
T11F9.5,WBGene00003540,nas-21,1.2400894168384,0.00534672958533719
Y73B6BL.9a,WBGene00001853,hil-2,0.278115350002558,0.0053661272287349
Y71A12B.12a.1,WBGene00013509,Y71A12B.12,5.00907064985548,0.0054357050823864205
Y53G8AL.2,WBGene00021800,Y53G8AL.2,-0.273176942511871,0.005625586426247771
W08E3.1,WBGene00004915,snr-2,-0.31153601585095,0.00571851460548451
F54D5.9,WBGene00010053,F54D5.9,0.26508494244689496,0.0059169754457472894
K08C7.3f.1,WBGene00001328,epi-1,3.8750792875251503,0.005961716511085111
F30H5.1,WBGene00006781,unc-45,-0.445777203317392,0.00628340013776189
B0205.11,WBGene00015025,mrpl-9,-0.35597452674865904,0.00643513602441159
R11A8.5,WBGene00011239,pges-2,-0.29791364413989396,0.00654279308599738
H14A12.2a,WBGene00001503,fum-1,0.39902585904408394,0.0067520190548008
Y54E5A.5,WBGene00013200,Y54E5A.5,-0.413238988033124,0.0070371904499270405
T19B4.3,WBGene00020557,T19B4.3,-0.395220510734312,0.00728741015880938
C50F7.4,WBGene00016844,sucg-1,-0.277506547661943,0.00728741015880938
F12F6.8,WBGene00008723,F12F6.8,1.90682459935168,0.00751244963606385
F48E3.8a,WBGene00018607,F48E3.8,2.65933228492706,0.0076407291011803295
C17H12.14,WBGene00006917,vha-8,-0.26020303387084304,0.00764588899853387
F29F11.6a,WBGene00001747,gsp-1,-0.263330223003877,0.0076903919218010205
F29F11.6b,WBGene00001747,gsp-1,-0.263330223003877,0.0076903919218010205
F02A9.4b,WBGene00008514,F02A9.4,-0.277435059353191,0.00869406932142435
T06E6.1,WBGene00011538,T06E6.1,-0.40671344481362204,0.00892322873171508
F22A3.1b,WBGene00017687,ets-4,0.8879347065416421,0.00906340280818804
Y55B1AR.1.2,WBGene00002269,lec-6,-0.422370347090278,0.00925654388342307
F36H9.3,WBGene00000976,dhs-13,-0.392755711418782,0.009780290901153
B0205.7,WBGene00002191,kin-3,-0.25116004645998,0.0110828616350766
F33H2.2,WBGene00009366,F33H2.2,0.255979127142067,0.0120747950830601
C23H3.9b,WBGene00016022,C23H3.9,3.14528437307046,0.013161809671078
F20D1.6,WBGene00004317,rbg-1,0.30579277301813,0.0133313504043615
Y56A3A.32b,WBGene00006937,wah-1,-0.297443172651469,0.0133511947262332
F30F8.1,WBGene00009270,F30F8.1,0.24497483671964299,0.014521016801
C08F1.6,WBGene00015610,C08F1.6,1.5076890930626001,0.0148458532948552
Y105E8A.16.2,WBGene00004489,rps-20,-0.252085749573107,0.014901340791961001
F55F8.5.1,WBGene00018893,wdr-12,-0.43833248978756895,0.0152741817171847
C33A12.12,WBGene00007887,gadr-2,0.948368503730883,0.015367531664707
T04F3.1a,WBGene00011436,T04F3.1,1.17066126852669,0.0154356372368365
C41G7.9a.2,WBGene00077771,C41G7.9,4.9764259371538095,0.0155155464298287
C09D4.5.3,WBGene00004431,rpl-19,-0.350962258724746,0.015546795450317001
R151.9,WBGene00020112,pfd-5,-0.33268570673056896,0.0183960218441928
R151.3.3,WBGene00004417,rpl-6,-0.262516381972974,0.0185298699765766
K09E2.3,WBGene00019572,K09E2.3,-0.306612624240991,0.0185306618022871
M01F1.2.2,WBGene00004428,rpl-16,-0.25768144387072,0.0185306618022871
K07C11.8.2,WBGene00019480,K07C11.8,0.681824989312627,0.0203069080509004
Y4C6A.3,WBGene00021153,Y4C6A.3,0.276772414291439,0.0227948317908809
