ext_gene,ens_gene,target_id,b,qval
F53A9.6,WBGene00018729,F53A9.6,1.4158066819572699,1.20271706227856e-09
ram-2,WBGene00004300,F38A3.2,2.4451709338454197,1.5359782261412499e-09
F35E12.4,WBGene00009428,F35E12.4,3.0281016584678,1.6929915894396e-09
cnp-2,WBGene00012901,Y46G5A.10,1.8838493840696,2.57848846376887e-09
pcca-1,WBGene00017864,F27D9.5,0.468125901451175,2.86060333653118e-09
pccb-1,WBGene00018701,F52E4.1a.2,0.970837041383962,3.0035961858149203e-09
T07D3.4,WBGene00020307,T07D3.4,0.6479330379521129,3.0035961858149203e-09
T11F8.2,WBGene00020434,T11F8.2,0.894551514210255,3.74551151280656e-09
ZK863.8,WBGene00014125,ZK863.8,1.11509737751235,3.76401346569275e-09
tag-244,WBGene00044073,C34H4.3a,0.8594060237424141,4.21315317490966e-09
ifa-4,WBGene00002052,K05B2.3,0.795979941835967,4.352856308636811e-09
Y45F10C.4,WBGene00012880,Y45F10C.4,0.9714824443368628,4.38761341591118e-09
col-144,WBGene00000717,B0222.6,2.2615784917568598,4.52160198019367e-09
D1086.7,WBGene00008394,D1086.7,0.9834198028114821,5.663191698327211e-09
lys-4,WBGene00003093,F58B3.1,1.6851734592291998,8.56134488606011e-09
F49F1.5,WBGene00018645,F49F1.5a,2.20255355619704,8.868729916615792e-09
ZC190.4,WBGene00022538,ZC190.4,1.01625131361278,9.2158119056147e-09
F22B5.6,WBGene00009044,F22B5.6,1.27653225634148,9.340163593826371e-09
T06A4.3,WBGene00020283,T06A4.3a,1.60862966919065,1.30457892300712e-08
T24B8.4,WBGene00011978,T24B8.4a,0.6533655212212961,1.4131232052077401e-08
M163.1,WBGene00010935,M163.1,0.9378623351621992,1.4131232052077401e-08
pccb-1,WBGene00018701,F52E4.1a.1,0.502865118436176,1.47861499127384e-08
pes-23,WBGene00003987,F14B8.3,1.1169766545346298,1.5812898725609e-08
col-147,WBGene00000720,T06E4.4,2.04971957685868,1.60412006314856e-08
K07A1.6,WBGene00010613,K07A1.6,0.795378716352347,2.01388899789274e-08
T28H10.2,WBGene00012143,T28H10.2,0.9863354331160692,2.24615902473251e-08
clec-4,WBGene00012583,Y38E10A.5,1.58565931021992,4.6809966507833603e-08
pck-1,WBGene00021043,W05G11.6c,1.98818426097083,5.37434386325475e-08
sqrd-1,WBGene00008538,F02H6.5c,5.592270827171731,5.55435015059597e-08
F53F8.4,WBGene00010001,F53F8.4,1.2490254658498101,5.57484912992855e-08
C06H2.7,WBGene00007391,C06H2.7a,0.721268628270351,5.608271393085179e-08
col-94,WBGene00000669,W05B2.1,1.0321318864016802,5.80356828724491e-08
Y37H2A.13,WBGene00045417,Y37H2A.13,3.31444746754445,6.049077971648201e-08
Y37A1B.5,WBGene00012538,Y37A1B.5b,2.26242116752335,9.440746276861169e-08
clec-60,WBGene00014046,ZK666.6,3.49829792312033,9.5773198861573e-08
fbxa-91,WBGene00022494,Y119D3B.18,1.5976436761931,1.0901897843805499e-07
lev-11,WBGene00002978,Y105E8B.1j,0.7384042114048621,1.1143563457967699e-07
lev-11,WBGene00002978,Y105E8B.1b.2,0.7384042114048621,1.1143563457967699e-07
exc-6,WBGene00019030,F58B6.2,1.20869575832344,1.1200859447207301e-07
F49F1.7,WBGene00018647,F49F1.7a,1.4119292738296398,1.21483774094415e-07
B0457.2,WBGene00007178,B0457.2,0.6706406173868941,1.52588605744387e-07
Y49E10.29,WBGene00045239,Y49E10.29,0.82966768991716,1.6511244981993598e-07
phy-2,WBGene00004025,F35G2.4,0.832512666926754,2.1080863088980697e-07
snf-9,WBGene00004908,C49C3.1,0.983841790785331,2.42863159685771e-07
T22C1.4,WBGene00011915,T22C1.4,0.45058061799848603,2.61850940960636e-07
viln-1,WBGene00015691,C10H11.1,0.475418262370916,3.16187949421554e-07
cex-2,WBGene00023408,T09A5.1a,0.814044396581749,3.16187949421554e-07
fmo-2,WBGene00001477,K08C7.5,2.74672596029311,4.44843490000877e-07
dmd-9,WBGene00022060,Y67D8A.3,0.8500379983323709,4.4956307400397e-07
dyf-7,WBGene00001123,C43C3.3,1.17445194234639,4.5454796695756904e-07
swm-1,WBGene00023417,C25E10.9a,0.7780142297552191,5.210900636363229e-07
scav-5,WBGene00011076,R07B1.3,0.9141036940368371,5.24173816622806e-07
nhr-99,WBGene00003689,M02H5.1,1.3695560761050298,7.123567850547309e-07
col-39,WBGene00000616,C09G5.4,2.69944043474677,9.61073147649534e-07
F57B9.1,WBGene00018996,F57B9.1,0.5077733145267349,1.005576629081e-06
clec-223,WBGene00007282,C03E10.5,1.11420233934805,1.03259855168808e-06
numr-1,WBGene00017270,F08F8.5,3.19972081265344,1.42692362393339e-06
bath-47,WBGene00006464,T07H3.1,2.24663020067386,1.4315638704086398e-06
rgs-11,WBGene00004354,F45B8.1,0.487002551986548,1.44007471465352e-06
Y25C1A.14,WBGene00194985,Y25C1A.14,1.0609947146914,1.4544703714839199e-06
lim-8,WBGene00017904,F28F5.3a,1.2249293805188601,1.88743182493259e-06
Y62H9A.3,WBGene00013391,Y62H9A.3,0.661168552369834,2.00166835114323e-06
R11H6.4,WBGene00011252,R11H6.4a,0.932511247859185,2.2405394684198603e-06
lsy-27,WBGene00009834,F47H4.1a,0.5609575769609539,2.29687394751251e-06
pept-2,WBGene00003876,C06G8.2,0.7543172134832409,2.59285452347281e-06
gst-7,WBGene00001755,F11G11.2,0.37118116257818995,2.94834807062057e-06
clec-88,WBGene00019606,K10B2.3a,0.410092530209988,3.05632922688688e-06
smp-1,WBGene00004889,Y54E5B.1a,0.48493953446154,3.3342699718881903e-06
Y43C5A.3,WBGene00012783,Y43C5A.3,0.552710614125053,3.75661318388291e-06
swm-1,WBGene00023417,C25E10.9b.1,1.16944115035222,3.81713997050965e-06
F54D1.6,WBGene00010047,F54D1.6,0.673176764092707,4.10011960435218e-06
F55G11.8,WBGene00010128,F55G11.8,0.6596799293020029,4.2457574034378e-06
D1054.11,WBGene00008378,D1054.11,0.598731702723373,4.8313397290767e-06
Y37A1B.5,WBGene00012538,Y37A1B.5c,4.23939965443976,5.37077807981342e-06
cdk-8,WBGene00000409,F39H11.3,0.357266134312546,5.90505318918353e-06
cal-5,WBGene00006861,C24H10.5,0.36931659317557597,6.63472155644141e-06
clec-210,WBGene00022261,Y73C8C.2,1.4254281978862602,8.31347491411383e-06
scpl-3,WBGene00021629,Y47D9A.2a,0.488587024270891,1.02656878972909e-05
C10A4.9,WBGene00045456,C10A4.9b,3.2490704899812504,1.0273645754038199e-05
mpst-3,WBGene00010383,H12D21.7c,6.0427272352181305,1.03351684805359e-05
F54D5.9,WBGene00010053,F54D5.9,0.37121909311636603,1.0504875216389301e-05
inx-7,WBGene00002129,K02B2.4a,0.501172703502856,1.36704455488159e-05
T27E4.7,WBGene00020865,T27E4.7,1.1230480670101,1.4500235676559e-05
try-1,WBGene00006619,ZK546.15,0.33619618233640497,1.55357312603737e-05
ZC116.3,WBGene00013855,ZC116.3,1.02914172447075,1.75276390464215e-05
R12C12.5,WBGene00020025,R12C12.5,0.46385240494168795,2.04397609689725e-05
nhr-135,WBGene00003725,VC5.5,0.890448914398448,2.24524721560737e-05
T04F8.7,WBGene00011445,T04F8.7a,0.964294586017249,2.3146791851064802e-05
D1086.18,WBGene00045405,D1086.18,1.3636653841640902,2.73385870487482e-05
mpst-2,WBGene00010380,H12D21.4,3.43496940718549,2.7359338556929002e-05
gst-19,WBGene00001767,F37B1.8,4.411688266247309,3.1405622776113e-05
ugt-18,WBGene00013900,ZC443.5,2.71434392682899,3.43612887832964e-05
F25H5.8,WBGene00009130,F25H5.8,0.6666063008541371,3.8309526782244604e-05
ctsa-2,WBGene00021503,Y40D12A.2,0.401572032289891,3.92936183069762e-05
col-110,WBGene00000684,F19C7.7,2.03774265038912,4.07536221696582e-05
D1086.10,WBGene00044080,D1086.10a,0.969036752488282,4.18305525254735e-05
clec-91,WBGene00014117,ZK858.3,0.345825334485175,4.27289850332888e-05
C36E6.8,WBGene00044683,C36E6.8.1,2.01954492099724,4.87206410731779e-05
cysl-2,WBGene00010759,K10H10.2.2,4.74753614280513,5.63060930543417e-05
K09H9.8,WBGene00045387,K09H9.8,0.9310098474989821,5.8234821134570995e-05
T22F3.3,WBGene00020696,T22F3.3a,0.576354586383133,8.09432233937049e-05
C49C3.9,WBGene00008199,C49C3.9,0.63197783161318,8.301073378183821e-05
M01A10.1,WBGene00019692,M01A10.1,0.31739364321702396,9.43882064610282e-05
col-92,WBGene00000667,W05B2.6,1.3636131949899,9.8779916852292e-05
col-159,WBGene00000732,F57B1.3,0.9456001909282958,0.000110102071421382
F49E12.8,WBGene00009901,F49E12.8,2.1078448536602,0.00011158219226425201
cpr-3,WBGene00000783,T10H4.12,0.908302164783515,0.00011641746725348999
nhr-62,WBGene00003652,Y67A6A.2a,4.97293779600749,0.00011662223594101499
sqrd-1,WBGene00008538,F02H6.5f,4.05986718628416,0.00014143835285164598
swt-1,WBGene00019300,K02D7.5,0.993736107799727,0.000161623275566879
pqn-41,WBGene00004128,F53A3.4a,0.564556515475077,0.00018731837831263899
cut-4,WBGene00008482,E04D5.3,0.979582082785473,0.000222112011116048
Y102A11A.5,WBGene00022415,Y102A11A.5,2.71474060244078,0.00023708300932495497
acl-6,WBGene00017261,F08F3.2a,0.654113299772266,0.00026183510114368
dpy-18,WBGene00001077,Y47D3B.10,0.528113495857207,0.00027920748598957997
C12D12.1,WBGene00015713,C12D12.1b,0.48705203680948705,0.000281523610227633
clec-66,WBGene00009397,F35C5.9,0.953856081664989,0.000319245480535338
D1086.10,WBGene00044080,D1086.10c,0.846779490837225,0.000321449709434138
C05C10.5,WBGene00007332,C05C10.5a,0.33063454710731,0.000326672945883874
K10D11.5,WBGene00010749,K10D11.5,0.638027137106009,0.00033006989477138703
szy-4,WBGene00077732,C30B5.1,0.29614184831656704,0.000358215790317748
chs-1,WBGene00000496,T25G3.2.2,1.16990243735281,0.00037684213876501603
ldh-1,WBGene00002262,F13D12.2,0.295774678110585,0.000380006971845071
T25C12.3,WBGene00012018,T25C12.3,0.404952157163266,0.00038643909499779704
T05F1.2,WBGene00011489,T05F1.2,0.299182634481364,0.0004115075320058
clh-3,WBGene00000530,E04F6.11a,0.4081493891769529,0.00043899541105453
mig-6,WBGene00003242,C37C3.6a.1,0.454209318410687,0.000446066449424916
unc-89,WBGene00006820,C09D1.1g,1.68675671886792,0.000502378259896618
K08E4.2,WBGene00010666,K08E4.2a,0.544481028682016,0.000529914544929227
F22B5.4,WBGene00009042,F22B5.4.2,4.11653771552064,0.000617722339039831
spsb-2,WBGene00021596,Y46E12BL.3,0.276229256615469,0.00076518081782276
C23H3.9,WBGene00016022,C23H3.9b,3.8709768786258,0.0008029454594157219
Y11D7A.10,WBGene00012434,Y11D7A.10d,3.60586597156528,0.000829382967504354
Y62E10A.13,WBGene00013379,Y62E10A.13c,3.6405936424414502,0.000842665843909953
F21A3.11,WBGene00219316,F21A3.11,0.7609234689432199,0.000843017943964976
F09A5.2,WBGene00008599,F09A5.2,0.776329749903986,0.0009107675566211679
Y69H2.3,WBGene00013481,Y69H2.3c,0.541560501926754,0.00093479895862715
ztf-18,WBGene00020763,T24C4.7,0.273708462223209,0.0009360019247824381
dod-24,WBGene00007875,C32H11.12,1.22061977296824,0.000945342771503985
F38A5.22,WBGene00235391,F38A5.22,0.761893814492795,0.0010000331923264599
Y41D4B.17,WBGene00021519,Y41D4B.17,1.16323769687505,0.00109738561859189
T12B5.14,WBGene00050913,T12B5.14,0.8830539796242399,0.00112641002412233
cpg-3,WBGene00011063,R06C7.4.1,0.842344923767346,0.00118948186761679
D1054.10,WBGene00008377,D1054.10,0.404801727586874,0.00120956581505454
fipr-7,WBGene00007543,C12D8.16,1.08108613809322,0.0014449738121749599
col-118,WBGene00000692,T11B7.3a,0.5626915843526421,0.0016047968013605
sygl-1,WBGene00012104,T27F6.4,0.25893317868864396,0.0016826652226356099
Y51F10.2,WBGene00021763,Y51F10.2a,0.330352371604533,0.00173014632811052
B0393.3,WBGene00007168,B0393.3,0.29543790431875605,0.00173166670496318
W02D7.6,WBGene00020942,W02D7.6,0.30590460318240004,0.0017384403934876198
rme-2,WBGene00004374,T11F8.3a.2,0.830896051728126,0.0018041948625516
knl-2,WBGene00019432,K06A5.4,0.26081580184207,0.0018362166929680802
chhy-1,WBGene00011923,T22C8.2,0.6854375174488361,0.0019252880888946102
nhr-49,WBGene00003639,K10C3.6e.1,4.84002960295813,0.0019640270303532
nhr-49,WBGene00003639,K10C3.6b.2,4.84002960295813,0.0019640270303532
ugt-54,WBGene00012013,T25B9.7.2,3.2699004711479103,0.00199082945437216
F48E3.8,WBGene00018607,F48E3.8a,2.9508386822941204,0.00200122348927835
Y62E10A.13,WBGene00013379,Y62E10A.13h,4.5185341806752195,0.00214264434859842
F30F8.1,WBGene00009270,F30F8.1,0.260796487354843,0.0022509661993490603
F02H6.4,WBGene00008537,F02H6.4c,3.14100464243892,0.00227060753030645
F26G1.11,WBGene00045455,F26G1.11,1.2945047385145099,0.00227326542767985
cpg-3,WBGene00011063,R06C7.4.2,2.17379698648745,0.00239535440192157
abts-1,WBGene00009920,F52B5.1a,0.303549624271353,0.00240251436335363
R102.11,WBGene00077714,R102.11a,1.84656320400895,0.0024863347784732396
LLC1.121,WBGene00235121,LLC1.121,0.9489064615939692,0.0028065026561903197
nas-20,WBGene00003539,T11F9.3,0.602071928514314,0.00292684149497521
F17H10.2,WBGene00008926,F17H10.2a,2.46735405206007,0.00321414723335476
K10C2.1,WBGene00019617,K10C2.1,0.418249174139969,0.00321905925852035
ZK813.1,WBGene00022820,ZK813.1.2,0.467247940521479,0.00326326385776035
T25B2.2,WBGene00020786,T25B2.2b,1.18327503256664,0.0032744797109783
gadr-2,WBGene00007887,C33A12.12,0.8702527597452231,0.0034647059608458397
Y9C9A.8,WBGene00021178,Y9C9A.8,1.19485614460429,0.00354289832662675
ZK154.1,WBGene00022665,ZK154.1,2.2508481853481,0.00373325478785819
F31E9.3,WBGene00009296,F31E9.3,0.875628186634274,0.0037395808643995295
F12F6.8,WBGene00008723,F12F6.8,1.8503587522052198,0.00439145349212259
ech-9,WBGene00001158,F01G10.3b,2.4180681044001298,0.00453858000602558
ech-9,WBGene00001158,F01G10.3a,2.4180681044001298,0.00453858000602558
col-160,WBGene00000733,F57B1.4.2,0.5593428427974351,0.00548345918616239
lec-11,WBGene00002274,F38A5.3a,0.395939133650575,0.00609880501788775
F55G1.15,WBGene00018907,F55G1.15,0.5805781429178499,0.00623577779926463
T10C6.10,WBGene00011691,T10C6.10b,0.30302435021565,0.00664723228907816
lec-2,WBGene00002265,F52H3.7a.2,0.5621652837910239,0.00692686222428638
C50E3.13,WBGene00016824,C50E3.13,0.32960261987124795,0.00697876444435022
T04F3.1,WBGene00011436,T04F3.1a,1.26769684085792,0.00704922684998585
pck-1,WBGene00021043,W05G11.6a.2,2.3805868641614,0.007162180543940141
pcaf-1,WBGene00021636,Y47G6A.6,0.237704010515163,0.00730257082000213
fum-1,WBGene00001503,H14A12.2b.1,0.424311069675301,0.007590470332037791
T19D12.1,WBGene00020576,T19D12.1,0.5338056751839529,0.007911386047374779
cam-1,WBGene00000289,C01G6.8c,0.313675106069303,0.0079699633483052
clec-70,WBGene00021581,Y46C8AL.3,1.98366304035182,0.008413935457942891
col-141,WBGene00000714,T15B7.5,0.6017839730897929,0.00893871309476359
C25D7.5,WBGene00007717,C25D7.5,1.09460925387586,0.00932317875378737
gpd-2,WBGene00001684,K10B3.8.2,0.603652603200005,0.00949429449379988
Y67H2A.2,WBGene00013461,Y67H2A.2a,0.24258451456655103,0.0104842408300105
mans-4,WBGene00013881,ZC410.3b,0.5873251739291401,0.0111717040813124
K08D8.4,WBGene00010658,K08D8.4e,4.4251612663041,0.0113765921295473
mes-6,WBGene00003224,C09G4.5,0.219837207817247,0.0119645658728304
C51E3.9,WBGene00008254,C51E3.9a,0.44255539134988203,0.0122475858924078
dod-3,WBGene00016052,C24B9.9,1.06770507272568,0.0122475858924078
clec-72,WBGene00021583,Y46C8AL.5,1.4088952923813998,0.0123809504460563
asp-5,WBGene00000218,F21F8.3.2,0.905621140938769,0.0125832877322233
K02E11.5,WBGene00010514,K02E11.5,0.831437329104477,0.0127827177875092
ogt-1,WBGene00003858,K04G7.3a,0.572296362278564,0.0129227976121656
comt-4,WBGene00021491,Y40B10A.6,1.87856542123042,0.0147395344733171
F55B11.2,WBGene00010084,F55B11.2.2,2.5741170020566897,0.0149890917509758
F35C12.3,WBGene00009408,F35C12.3c,2.3082649184509103,0.0158386265919647
nlp-28,WBGene00003766,B0213.3,0.6214404306595921,0.018290396612705002
F08F3.6,WBGene00017263,F08F3.6,0.272711764979024,0.0183492710578398
aex-5,WBGene00000088,F32A7.6,0.281163611124015,0.018383025035318003
R08F11.7,WBGene00019970,R08F11.7,1.2578212973801899,0.0194168665943171
C26B9.5,WBGene00016134,C26B9.5,0.302548398347454,0.0197483739874564
T24B8.5,WBGene00011979,T24B8.5,1.0900467636687499,0.0197915760873631
cyn-8,WBGene00000884,D1009.2b,0.314650477647239,0.0235102067708289
K08D8.6,WBGene00010660,K08D8.6a,0.5137901829188329,0.0241161532899645
H06I04.3,WBGene00019168,H06I04.3c,0.44887705416914203,0.0246387013659523
H23N18.6,WBGene00044534,H23N18.6,1.8673555706481102,0.0259518381700002
C08F1.6,WBGene00015610,C08F1.6,1.24532170040638,0.0272323365685349
jmjc-1,WBGene00020902,T28F2.4a,0.568059565525607,0.027514985786591
nop-1,WBGene00017774,F25B5.2a.1,0.41792442504151295,0.0278993752967109
cel-1,WBGene00000466,C03D6.3b,4.22960310858576,0.0280696992080107
sdha-1,WBGene00015391,C03G5.1,0.201570289511198,0.0280928095659984
F22F4.4,WBGene00017717,F22F4.4b,0.591990223043605,0.0291054864144844
tba-9,WBGene00006535,F40F4.5,0.62671049199379,0.0338925053783829
piga-1,WBGene00008431,D2085.6,0.203195477754572,0.0366095341372024
C03D6.1,WBGene00007275,C03D6.1,0.9982407741803381,0.0370481147640373
odr-8,WBGene00018160,F38A5.1a,3.4881278533722098,0.037484531375891
F38E9.5,WBGene00018187,F38E9.5.1,0.43355880870512703,0.037868321528816
dct-17,WBGene00009431,F35E12.7d,2.13690752814966,0.037985995843208
ani-2,WBGene00019608,K10B2.5,0.27397364981378103,0.0392965560640308
B0294.1,WBGene00015117,B0294.1,1.01114494052664,0.0432426338930335
cyp-13B2,WBGene00010606,K06G5.2,0.586265158246504,0.0444270477067833
F33H2.2,WBGene00009366,F33H2.2,0.220411312634909,0.0455371740547195
cnk-1,WBGene00000564,R01H10.8,0.26755988743994,0.0457052248740926
F54D5.2,WBGene00010048,F54D5.2,0.185845760798788,0.0462488666172358
K07C11.8,WBGene00019480,K07C11.8.2,0.620935018973964,0.0484573191410426
Y53C12B.7,WBGene00013146,Y53C12B.7,1.26452258244172,0.0516534342917774
mut-15,WBGene00011323,T01C3.8a,0.286438114738086,0.0524799442819154
let-268,WBGene00002497,F52H3.1.3,3.41157788844913,0.0534520906192596
Y37D8A.19,WBGene00012557,Y37D8A.19,0.296342445735831,0.0545265632802047
rbg-1,WBGene00004317,F20D1.6,0.24921504245163198,0.0555881801188716
C17H12.8,WBGene00015933,C17H12.8,0.435319809735998,0.0580253104836602
JC8.16,WBGene00194915,JC8.16,1.1095770033248897,0.0588184867374589
mpk-2,WBGene00003402,C04G6.1b,1.42382539179912,0.0603132542608866
pqe-1,WBGene00004095,F52C9.8a,0.539723851683784,0.0612081294564526
mai-1,WBGene00003124,K10B3.9.2,0.45903643269487,0.0632708315441993
glh-2,WBGene00001599,C55B7.1,0.223262273022004,0.0647965858800567
cpg-4,WBGene00015677,C10F3.1,0.18177042727641501,0.0650944956594098
F35E12.9,WBGene00009433,F35E12.9c,2.99224373592045,0.0666987650454221
C12D8.1,WBGene00007534,C12D8.1a,0.22889707291560502,0.0679187695010427
gbh-1,WBGene00001522,D2089.5,0.266573733774874,0.0731643892924762
Y66H1A.5,WBGene00022047,Y66H1A.5,0.227300910331626,0.0822880522595577
sulp-7,WBGene00012259,W04G3.6d,0.33613360826282696,0.08242526636397099
F38B2.4,WBGene00009531,F38B2.4a,0.23349554985862803,0.0880717543297951
zyx-1,WBGene00006999,F42G4.3b,0.34444194727532396,0.091187397005591
math-45,WBGene00021772,Y51H7BM.1,0.894154528746234,0.0922716407116464
T16G12.8,WBGene00011809,T16G12.8,0.247527266585151,0.0943870399891456
